NUMERIC REFERENCE,REFERENCE,CITATION,NUMBER OF OCCURRENCES
37,"Fernández Casas, 1982","Fernández Casas, J. (1982). De Flora Occidentale. Fontqueria 1, 9-12.",1
89,"Fernández Prieto & Cires, 2013","Fernández Prieto, J.A. & Cires, E. (2014). Phylogenetic placement of Dethawia, Meum, and Rivasmartinezia (Apioideae, Apiaceae): Evidence from nuclear and plastid DNA sequences. Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology 148(5), 975-987. https://doi.org/10.1080/11263504.2013.819818",1
116,"Fraga-Arguimbau, 2015","Fraga-Arguimbau, P. (2015). Notes i contribucions al coneixement de la flora de Menorca (X). Notes florístiques. Bolletí de la Societat d'Història Natural de les Balears 57, 161-189. ",1
139,"Fuentes et al., 2018","Fuentes, J., Cueto, M. & Segura, J.M. (2018). Novedades corológicas destacables para la flora vascular de Andalucía (sur de España) II. Anales de Biología 40: 1-7. https://doi.org/10.6018/analesbio.40.01",1
48,"Galán de Mera & Vicente Orellana, 2010","Galán de Mera, A. & Vicente Orellana, J.A. (2010). Taraxacum decastroi and T. lacianense (Asteraceae), two new species from the Iberian Peninsula. Annales Botanici Fennici 47(4), 307-311. https://doi.org/10.5735/085.047.0408",1
50,"Gonçalves et al., 2018","Gonçalves, A.C., Castro, S., Paiva, J., Santos, C. & Silveira, P. (2018). Taxonomic revision of the genus Calendula (Asteraceae) in the Iberian Peninsula and the Balearic Islands. Phytotaxa 352(1), 1-91. https://doi.org/10.11646/phytotaxa.352.1.1",1
118,"Guardiola & Romera, 2018","Guardiola, M. & Romera, X. (2018). Reaparició de Reseda hookeri (Resedaceae) a les platges del Maresme, una espècie considerada extingida a Catalunya. Boletín de la Institución Catalana de Historia Natural 82, 69-71.",1
53,"Güemes et al., 2016","Güemes, J., Marchal, F., Carrió, E. & Blasco, M.P. (2016). A new gypsophilous species of Chaenorhinum (Antirrhinaceae) from the south-east of the Iberian Peninsula. Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology, 150(1), 141-151. https://doi.org/10.1080/11263504.2014.987187",1
65,MA-611914,Herbarium specimen MA-611914,1
123,"Jiménez-Mejías et al., 2014","Jiménez-Mejías, P., Hilpold, A., Frajman, B., Pu?ca?, M., Koopman, J., Mesterházy, A., Grulich, V., Lye, K. A. & Martín-Bravo, S. (2014). Carex cespitosa: reappraisal of its distribution in Europe. Willdenowia 44(3), 327-343. https://doi.org/10.3372/wi.44.44303",1
120,"Juan et al., 1995","Juan, A., Serra, L. & Crespo, M.B. (1995). Adiciones a la flora alicantina. Acta Botanica Malacitana 20, 284-290.",1
144,"Le Driant & Carlón, 2020","Le Driant, F. & Carlón, L. (2020). The Saharo-Arabian Gymnocarpos sclerocephalus (Caryophyllaceae) new to Europe in the semideserts of Almería, Spain. Willdenowia 50(2), 187-194. https://doi.org/10.3372/wi.50.50204",1
62,"López-Alvarado et al., 2017","López-Alvarado, J., Cobacho, I., Arán, V. J., Rosato, M., Rossellò, J.A. & Sáez, L. (2017). Limonium ilergabonum (Plumbaginaceae), a new species from northeastern Iberian Peninsula. Phytotaxa 331(2), 199-212. https://doi.org/10.11646/phytotaxa.331.2.4",1
61,"López-Alvarado et al., 2012","López-Alvarado, J., Sáez, L., Filigheddu, R., Guardiola, M. & Susanna, A. (2012): Centaurea tripontina (Compositae), a new species from the Pre-Pyrenean mountains, Spain. Plant Biosystems - An International Journal Dealing with all Aspects of Plant Biology 146(sup1), 273-275. https://doi.org/10.1080/11263504.2011.608736",1
138,"Lora González & Vivero Pol, 1998","Lora González, A. & Vivero Pol, J.L. (1998). Notas corológicas para la flora de Andalucía. Acta Botanica Malacitana 23, 243-247.",1
66,"Maguilla & Escudero, 2016","Maguilla, E. & Escudero, M. (2016). Cryptic species due to hybridization: a combined approach to describe a new species (Carex: Cyperaceae). PloS one, 11(12), e0166949. https://doi.org/10.1371/journal.pone.0166949",1
68,"Martínez Fort & Donat Torres, 2006","Martínez Fort, J. & Donat Torres, M.P. (2006). Crassula alata (Viv.) Berger subsp. alata: primera cita para la península Ibérica. Flora Montiberica 33, 41-44.",1
128,"Martínez Sánchez & Herranz Sanz, 1992","Martínez-Sánchez, J.J. & Herranz Sanz, J.M. (1992). Notas corológicas albacetenses, I (España). Anales de Biología 18, 69-76.",1
101,"Mateo Sanz & Crespo, 2008","Mateo Sanz, G. & Crespo, M.B. (2008). Novedades taxonómicas y nomenclaturales para la flora valenciana Flora Montiberica 40, 60-70.",1
71,"Mejías, 2015","Mejías, J.A. (2015). Cicerbita muralis subsp. gaditana Mejías (Asteraceae, Cichorieae), nuevo taxón endémico de la Península Ibérica. Acta Botanica Malacitana 40, 323-331. https://doi.org/10.24310/abm.v40i0.2537",1
74,"Molino et al., 2019","Molino, S., de la Fuente, P., Seral, A. & Gabriel y Galán, J.M. (2019). Nuevas localidades de tres helechos para la Península Ibérica. Botanica Complutensis 40, 1-6. http://dx.doi.org/10.5209/BOCM.62875 ",1
75,"Montserrat Recoder, 1996","Montserrat Recoder, P. (1996). Notas sobre violetas ibéricas. Anales del Jardín Botánico de Madrid 54, 234-240.",1
124,"Morales-Molino & Martínez-Sagarra, 2015","Morales-Molino, C. & Martínez-Sagarra, G. (2015). Carex extensa Gooden. (Cyparaceae) en saladares continentales de montaña del Sistema Ibérico (provincia de Guadalajara, España). Acta Botanica Malacitana 40, 209-210. https://doi.org/10.24310/abm.v40i0.2539",1
76,"Moreno et al., 2016","Moreno, J., Terrones, A., Alonso, M.Á., Juan, A. & Crespo, M.B. (2016). Limonium tobarrense (Plumbaginaceae), a new species from the southeastern Iberian Peninsula. Phytotaxa 257(1), 61-70. https://doi.org/10.11646/phytotaxa.257.1.4",1
146,"Pavon & Buisson, 2017","Pavon, D & Buisson, E. (2017). Sobre la presencia de Orobanche pubescens d’Urv. (Orobanchaceae) en la Península Ibérica. Flora Montiberica 68, 48-51.",1
84,"Pino Pérez & Pino Pérez, 2018","Pino Pérez, R. & Pino Pérez, J.J. (2018). Asientos corológicos FBIGA, 2018. Boletín BIGA 16, 27-67.",1
86,"Pino Pérez et al., 2016","Pino Pérez, R., Silva-Pando, F.J. & Pino Pérez, J.J. (2016). Notas sobre Limonium (Plumbaginaceae) en el Noroeste Ibérico, I: Limonium serpentinicum, Nueva Especie. Novon: A Journal for Botanical Nomenclature 24(4), 380-388. https://doi.org/10.3417/2015026",1
142,"Sáez et al., 2015","Sáez, L., Galán de Mera, A., Pyke, S., Pié, G. & Carnicero, P. (2015). New data on vascular plants from Montseny massif (northeastern Iberian Peninsula). Orsis 29, 205-229.",1
98,"Sales & Smith, 1990","Sales, F. & Smith, P. (1990). A new species in the genus Bromus. Edinburgh Journal of Botany 47(3), 361-366. https://doi.org/10.1017/S0960428600003498",1
99,"Sanchez-Gómez et al., 2011","Sánchez-Gómez, P., Jiménez, J.F. & Vera, J.B. (2011). Helianthemum motae (Cistaceae), a new species from southeastern Spain. Annales Botanici Fennici 48(1), 49-56. https://doi.org/10.5735/085.048.0107",1
102,"Senar et al., 2020","Senar, P., Ferrer-Gallego, P.P., Laguna, E., Rosselló, J.A., Sáez, L. (2020). Micromeria rodriguezii (Lamiaceae) en la flora peninsular ibérica. Collectanea Botanica 39, e006. https://doi.org/10.3989/collectbot.2020.v39.006",1
108,"Talavera & Talavera, 2015","Talavera, S. & Talavera, M. (2015). El género Andryala L. (Compositae, Cichorieae) en la Península Ibérica y Baleares: una nueva especie e híbridos interespecíficos. Acta Botanica Malacitana 40, 296-310. https://doi.org/10.24310/abm.v40i0.2557",1
109,"Ureña, 1994","Ureña, J.F. (1994). Nueva especie del género Narcissus L., sect. Jonquillae DC. de Ronda (Málaga). Botanica Complutensis 10, 83-88.",1
110,"Vázquez & Barkworth, 2004","Vázquez, F.M. & Barkworth, M. E. (2004). Resurrection and emendation of Macrochloa (Gramineae: Stipeae). Botanical Journal of the Linnean Society 144(4), 483-495. https://doi.org/10.1111/j.1095-8339.2003.00256.x",1
112,"Venhuis & Oostermeijer, 2011","Venhuis, C. & Oostermeijer, J.G.B. (2011). Distinguishing colour variants of Serapias perez-chiscanoi (Orchidaceae) from related taxa on the Iberian Peninsula. Anales del Jardín Botánico de Madrid 68(1), 49-59. https://doi.org/10.3989/ajbm.2269",1
113,"Venhuis et al., 2007","Venhuis, C., Venhuis, P., Oostermeijer, J.G.B. & van Tienderen, P.H. (2007). Morphological systematics of Serapias L. (Orchidaceae) in southwest Europe. Plant Systematics and Evolution 265(3-4), 165-177. https://doi.org/10.1007/s00606-007-0519-0",1
117,"Verloove & Mesterházy, 2013","Verloove, F. & Mesterházy, A. (2013). Cyperus glaber L. (Cyperaceae), an enigmatic species “new” to Spain. Webbia 68(1), 67-71. https://doi.org/10.1080/00837792.2013.801110",1
129,"Moreno Saiz, Pers. Com", ,1
