Species_name,MGRS_10X10
Iberis ciliata,29SNC23
Cerastium ramosissimum,29TPE84
Centranthus calcitrapae,29SNC31
Arrhenatherum elatius,29SPB37
Narcissus papyraceus,29SNB82
Cotula australis,29SPD70
Carex mairii,29SMD94
Aristolochia paucinervis,30SUH08
Asplenium adiantum-nigrum,29TPE85
Plantago serraria,29SQC26
Avena barbata,29SPD72
Misopates orontium,30STJ50
Ornithopus pinnatus,29SNC11
Galium aparine,30TTK74
Jasione montana,29TPE85
Thymus capitellatus,29SNB13
Dryopteris caucasica,30TTK74
Biscutella auriculata,29SQC35
Calendula arvensis,30STJ50
Cytisus scoparius,29SQC41
Serapias maria,29SQD20
Misopates orontium,29SQC26
Gladiolus italicus,29SQC45
Helianthemum aegyptiacum,30STH89
Anthyllis lotoides,30STK60
Silene gallica,29SPD46
Sedum candollei,30STH88
Euphorbia oxyphylla,30TTK64
Anthemis arvensis,30SUH08
Achillea millefolium,29TPE85
Glandora prostrata,29TPE75
Asphodelus albus,29TPE85
Lamium amplexicaule,30STH53
Salix caprea,29TQE38
Silene colorata,29SPC97
Medicago polymorpha,29SNB21
Quercus faginea,29SPC94
Silene colorata,30STK60
Briza minor,29SQD34
Helianthemum ledifolium,29SQC35
Phalaris coerulescens,29SQD11
Senecio gallicus,29SNC25
Myosotis discolor,30TTK74
Astragalus echinatus,29SQC06
Geranium purpureum,29SPC50
Scorzonera hispanica,29SQD00
Hypochaeris glabra,30STH62
Leontodon longirostris,29TPE75
Quercus canariensis,29SPC94
Himantoglossum robertianum,29SQC54
Senecio vulgaris,29TQE46
Cuscuta pentagona,29SQC35
Aristolochia paucinervis,29SPD89
Tolpis umbellata,29SQC39
Ophrys lutea,29SPC39
Anthyllis lotoides,30STH73
Quercus faginea,29SPC94
Callitriche brutia,30STH41
Coriandrum sativum,29SPD70
Chrysojasminum fruticans,30STH33
Helianthemum hirtum,29SQC19
Stipa offneri,30SXJ62
Verbascum pulverulentum,29SQC41
Cytisus scoparius,29SQD00
Barbarea intermedia,29SPD96
Lavandula stoechas,29SPB16
Vulpia myuros,30STH86
Lolium rigidum,29SQD34
Stellaria alsine,29SQC26
Vicia sativa,30STJ62
Calendula arvensis,30STK70
Nardus stricta,29TPE85
Crataegus monogyna,29TQE13
Calendula arvensis,29SPC93
Cytisus scoparius,30SUH19
Plantago lanceolata,30TTK94
Rumex angiocarpus,29TPE85
Euphorbia segetalis,30STH62
Ophrys tenthredinifera,29SQC35
Ornithogalum pyrenaicum,30STJ50
Isoetes lacustris,30SUH09
Serapias lingua,29TQE43
Glaucium corniculatum,29SQD00
Moraea sisyrinchium,29SQD15
Narcissus triandrus,29SQC41
Ornithogalum baeticum,30STJ50
Dipcadi serotinum,30STH52
Smyrnium olusatrum,29SQC11
Torilis nodosa,29SQD00
Euphorbia peplus,29SQC19
Gagea algeriensis,30SWG41
Euphorbia exigua,29SQD01
Anacyclus radiatus,29SQC41
Hypochaeris glabra,29SQD08
Reseda luteola,30STH68
Pisum sativum,29SQD43
Onobrychis humilis,30SUJ11
Vulpia bromoides,29SQD09
Plantago lagopus,29SQD20
Polypogon maritimus,29SQB49
Platycapnos spicata,30STH62
Stipa tenacissima,30SVG82
Poterium sanguisorba,29SPD80
Linaria micrantha,30TUM40
Stellaria media,29TQE43
Alyssum granatense,30STJ50
Silene gallica,30STH87
Quercus pyrenaica,30TTK64
Rhagadiolus edulis,30STK60
Calendula arvensis,29SQC26
Thapsia garganica,29SPC67
Lilium martagon,30TTK64
Serapias parviflora,29SNB00
Luzula forsteri,30TTK56
Ranunculus pseudomillefoliatus,29TQE13
Cerastium ramosissimum,30STH73
Orobanche amethystea,29SPD45
Pimpinella villosa,30STH73
Vulpia delicatula,29SQD20
Erodium aethiopicum,30SUH08
Vulpia ciliata,29TPE85
Lotus glaber,28RFS29
Diplotaxis virgata,29SPC79
Arabis stenocarpa,30TTK74
Pedicularis sylvatica,30TTK66
Stipa tenacissima,30SWH92
Glebionis segetum,29SQD44
Vicia benghalensis,30STH73
Quercus battandieri,29SPC94
Calendula suffruticosa,29SNC23
Rumex induratus,29SQD20
Anthyllis lotoides,29TQE35
Ranunculus trilobus,30SUH18
Euphorbia helioscopia,29TNH34
Hedypnois rhagadioloides,30SUH18
Matricaria aurea,30SWJ90
Allium roseum,29TQE47
Lamarckia aurea,30STJ60
Carex divisa,29SPD80
Medicago polymorpha,29SPC50
Euphorbia segetalis,29SNC25
Geranium dissectum,29SPC38
Betula pubescens,29TPE27
Silene pseudoatocion,29SQC12
Helianthemum ledifolium,29SQC26
Vicia sativa,29SQD00
Platycapnos spicata,29SQC43
Vaccaria hispanica,29SQC19
Lotus glareosus,29TQE48
Carex divisa,30SUH09
Stellaria alsine,30STH42
Centaurea melitensis,29SQC26
Ornithogalum baeticum,29SQC26
Stipa tenacissima,29SPB11
Geranium dissectum,29SQD44
Narcissus bulbocodium,29SQD15
Stipa tenacissima,30SVG27
Sedum mucizonia,30STH62
Juniperus phoenicea,29SNB82
Lavandula stoechas,30STH42
Euphorbia serrata,30STH62
Scrophularia scorodonia,30TTK74
Mercurialis annua,29SPD61
Hyacinthoides mauritanica,29SQC31
Phagnalon saxatile,30STH58
Hordeum vulgare,30STH86
Cistus albidus,29SQC43
Ranunculus ollissiponensis,29SQC45
Crepis vesicaria,29SQD20
Bromus diandrus,29SPD46
Vulpia myuros,29SQC43
Mercurialis annua,29SPB37
Sedum cespitosum,29SQC04
Genista hirsuta,29SQB59
Hedera helix,30STE79
Leopoldia comosa,29SQD20
Oeosporangium ibericum,29TPE75
Lathyrus angulatus,29SQD14
Verbascum pulverulentum,29SQC41
Viola canina,29TQE27
Crataegus monogyna,29SQC04
Galactites tomentosa,30STJ50
Bolboschoenus maritimus,29SPC98
Eruca vesicaria,29SQC26
Arrhenatherum elatius,29SQC43
Carex divisa,30STH67
Rostraria cristata,29SQC45
Rumex crispus,30STJ50
Dianthus cintranus,29SMD93
Thymus mastichina,29SQC63
Genista microphylla,29SPD70
Asplenium obovatum,29TQE47
Myosotis balbisiana,29TPE85
Leopoldia comosa,29SQC44
Anagallis monelli,29SQC21
Bellis sylvestris,29TQE16
Brachypodium distachyon,29SQC40
Arrhenatherum elatius,29SPC38
Vulpia myuros,29SPC29
Herniaria lusitanica,30STH67
Scorpiurus muricatus,29SQC06
Ophrys tenthredinifera,29TQE47
Quercus faginea,30STF87
Capsella bursa-pastoris,30STH62
Cistus ladanifer,29SNB42
Silene colorata,29SPC59
Erodium moschatum,29SPD36
Scandix australis,29SQC45
Hyacinthoides hispanica,29SQC31
Lysimachia arvensis,29SQC06
Stellaria media,29SQD20
Lathyrus clymenum,29SPD92
Cephalanthera longifolia,29SPD10
Torilis arvensis,29SQD02
Geocaryum capillifolium,30SUH19
Platycapnos spicata,29SQC43
Anthoxanthum aristatum,29SQD20
Lathyrus clymenum,29SQC04
Centranthus calcitrapae,29SQD44
Anagallis monelli,30STH42
Anacamptis morio,29SNB85
Fumaria capreolata,30STH62
Digitalis purpurea,29TPE85
Ornithopus compressus,29SPD80
Vulpia unilateralis,29SQD44
Lotus tetragonolobus,30STE89
Ranunculus muricatus,29SPD96
Symphytum tuberosum,30TTK64
Herniaria glabra,29SQC45
Serapias frankavillae,29TQE14
Corrigiola litoralis,30STJ60
Biscutella auriculata,29SQD00
Sagina saginoides,29TPE85
Orobanche crenata,29SQC41
Medicago doliata,30SUG27
Lysimachia arvensis,29SQC40
Airopsis tenella,30STJ60
Melittis melissophyllum,30STJ98
Hyacinthoides hispanica,30STH33
Anacamptis morio,29SQC35
Crepis vesicaria,30STJ50
Coronilla repanda,29SNC11
Tuberaria guttata,30STJ70
Silene latifolia,29SQC21
Tuberaria lignosa,29SPD70
Hordeum murinum,29SPC97
Hippocrepis rupestris,29SQC45
Cynoglossum cheirifolium,30STK70
Sonchus tenerrimus,29SMD94
Veronica hederifolia,30TTN81
Leucanthemopsis pulverulenta,30TTK64
Arrhenatherum elatius,30STJ70
Bellardia viscosa,30STJ81
Cardamine flexuosa,29TPE17
Serapias cordigera,29SNB00
Reseda luteola,29SQC63
Leontodon longirostris,29SQC06
Narcissus flavus,29SQC06
Narcissus tazetta,29SPC98
Lythrum junceum,30SUH18
Lavandula pedunculata,29SQD27
Geranium molle,30STK60
Silene psammitis,29SQC31
Aristolochia paucinervis,29SPD45
Oeosporangium hispanicum,30SUH08
Papaver argemone,30TTK74
Linum bienne,29SQC21
Plantago lagopus,30STH75
Carex leporina,30TTK74
Scrophularia reuteri,29TPE85
Myosotis stolonifera,30TTK74
Dryopteris borreri,30TTK74
Ranunculus gramineus,30TTK74
Raphanus raphanistrum,29SPC56
Rumex angiocarpus,29SQC21
Euphorbia exigua,29SQC63
Anthericum liliago,29TQE47
Sonchus oleraceus,29SPD40
Tamarix boveana,30TVK42
Bromus rubens,30SUH18
Herniaria lusitanica,30STH41
Anagallis monelli,29SQC21
Brachypodium distachyon,30STH62
Galium aparine,29SPC94
Teesdalia coronopifolia,29TQE47
Vulpia delicatula,29TQE05
Medicago littoralis,29SQC18
Arenaria montana,29SPD45
Briza minor,29SQD41
Hyacinthoides hispanica,30STJ98
Rhamnus oleoides,29SQC15
Filago lutescens,30STH73
Iris xiphium,29SPC50
Geum sylvaticum,29SMD93
Hedypnois rhagadioloides,29SPD91
Serapias lingua,30TTK53
Cistus salviifolius,29SNC87
Euphorbia peplus,29SQC12
Alyssum simplex,30SUH37
Brachypodium distachyon,29SPB16
Ranunculus spicatus,30TTK74
Malva multiflora,29SPC93
Asplenium trichomanes,30TTK74
Cytisus oromediterraneus,30TTK74
Erica arborea,29TQE38
Arrhenatherum elatius,29SQC41
Lamarckia aurea,30STH58
Geranium molle,30SUJ07
Brassica barrelieri,29TQE46
Festuca paniculata,30STJ98
Rhamnus oleoides,29SPD61
Drosera rotundifolia,30TUK07
Melica uniflora,30TTK64
Phalaris coerulescens,29SQD02
Rhaponticum exaltatum,30STJ96
Lathyrus angulatus,30SUH08
Raphanus raphanistrum,29SQC41
Tuberaria guttata,30STH88
Aristolochia paucinervis,29SQD43
Plantago coronopus,29SQD20
Rapistrum rugosum,29SQC35
Ranunculus ophioglossifolius,29SQD41
Leontodon longirostris,30TTK74
Geranium purpureum,29SQD44
Tolpis umbellata,30SUH18
Umbilicus rupestris,29SQC39
Serapias lingua,29SPC54
Leontodon tuberosus,29SQD00
Astragalus cicer,29SQC40
Leontodon longirostris,29SPC50
Lotus arenarius,29SNC14
Ranunculus repens,30TTK64
Erodium moschatum,29SQC04
Rumex bucephalophorus,29SPC50
Fumaria reuteri,29SPD81
Poa bulbosa,30STH67
Thymus mastichina,30TTK74
Cladanthus mixtus,29SQB49
Ruscus aculeatus,29SQC04
Erodium moschatum,29SQC53
Allium sativum,29SQD00
Campanula erinus,30STH40
Papaver hybridum,29SQC53
Geranium dissectum,30STJ51
Valerianella carinata,29SQD15
Geranium dissectum,30STJ51
Orchis anthropophora,30STH33
Mercurialis annua,29SQC63
Misopates orontium,29SQD02
Euphorbia exigua,29SQD11
Senecio vulgaris,30STK60
Erodium aethiopicum,30TTK74
Urospermum picroides,30STH58
Scilla peruviana,29SPC43
Ranunculus peltatus,30STH99
Linaria spartea,29SQD10
Glaucium corniculatum,29SQD10
Lathyrus clymenum,29SQC04
Ophrys scolopax,29SQC43
Alyssum granatense,29SPD89
Trifolium incarnatum,29SPC20
Stachys arvensis,29SQD11
Narcissus rupicola,30STJ97
Polygala vulgaris,29SNC23
Plantago afra,29SQC25
Euphorbia falcata,29SQC44
Herniaria lusitanica,29SQC06
Ornithogalum baeticum,30STJ81
Ulex genistoides,29SNC23
Rubia peregrina,29SQB09
Salvia officinalis,29SPD51
Thymus zygis,29SQC12
Serapias strictiflora,29SPC73
Biscutella valentina,29SQC35
Poterium sanguisorba,30STH73
Anthyllis lotoides,30TTK63
Salvia sclareoides,29SMD94
Myosotis ramosissima,29SQC31
Galium parisiense,29SPD61
Leucanthemopsis pallida,30TVN76
Cerastium ramosissimum,29TQE17
Crataegus monogyna,29SPC38
Reichardia intermedia,30STH62
Pistacia terebinthus,29SQC04
Trifolium spumosum,29SQC40
Juncus bufonius,30STJ51
Asphodelus albus,29SPD80
Capsella bursa-pastoris,29SPD36
Micranthes engleri,30TTK56
Trifolium tomentosum,30STJ70
Viburnum tinus,29TNE74
Rumex angiocarpus,29SQC21
Phalaris canariensis,29SPD61
Tripodion tetraphyllum,30SUG27
Papaver hybridum,29SQC26
Ophrys speculum,29SNB71
Tamarix africana,30SUH18
Plantago lagopus,30TTK64
Lagoecia cuminoides,30STJ50
Ranunculus gramineus,29TPE85
Sherardia arvensis,29SQD00
Trifolium stellatum,29SQC43
Papaver rhoeas,29SPC67
Mercurialis annua,29TQE47
Poterium sanguisorba,30STH52
Scleranthus verticillatus,30TTK74
Plantago coronopus,30STH75
Coleostephus myconis,29SQB49
Senecio vulgaris,29TPE85
Plantago coronopus,30STJ60
Filago pygmaea,29SPB71
Lamium bifidum,29TNH34
Festuca ampla,29SNB42
Filago pygmaea,30STH41
Melica minuta,29SQC06
Lens nigricans,29SQC25
Genista hirsuta,30STH88
Hyacinthoides hispanica,29SPD36
Biscutella auriculata,29SQC26
Spergula pentandra,30TTK66
Misopates orontium,29SQE10
Bromus hordeaceus,29SPD61
Ranunculus ollissiponensis,29SPC94
Convolvulus siculus,29SQC39
Platycapnos spicata,29SQC63
Phagnalon saxatile,30STJ70
Hypochaeris radicata,30STH87
Paronychia argentea,29SPD46
Achillea nobilis,29SQB49
Erica arborea,29SQC21
Brassica barrelieri,29SQC40
Gagea elliptica,29SQC31
Thymus mastichina,30TTK64
Misopates orontium,30STH67
Vulpia ciliata,30STH87
Gladiolus communis,29SNB42
Orobanche rapum-genistae,29SQC21
Bromus madritensis,29TQE47
Lolium rigidum,29SQD44
Cladanthus mixtus,29SPC29
Ranunculus penicillatus,29SQD15
Bellardia trixago,30STK81
Pulicaria odora,29SNC31
Euphorbia helioscopia,30STK60
Medicago polymorpha,29SQC18
Sherardia arvensis,29SPD61
Carex divulsa,29SNC81
Quercus faginea,30STJ98
Ornithogalum umbellatum,29TPE84
Anthemis arvensis,29SQC26
Helianthemum ledifolium,29SPD36
Ornithopus perpusillus,30TTK74
Trifolium cherleri,30SUH09
Cruciata glabra,30TTK66
Chamaemelum fuscatum,29SQD20
Anacamptis papilionacea,29SQC35
Lamium amplexicaule,29SPD61
Vulpia myuros,29SPD66
Cakile maritima,29SPB71
Micromeria graeca,29SQC06
Taraxacum officinale,30TWL44
Sedum mucizonia,29SQD34
Onobrychis humilis,30SUH18
Anthyllis lotoides,30TTK74
Ophrys bombyliflora,29SPD80
Helichrysum luteoalbum,29SQC26
Vicia sativa,29SQD00
Plantago lanceolata,30STH75
Plantago lagopus,30STK60
Rubia peregrina,29SNB82
Sedum mucizonia,29SQC53
Santolina chamaecyparissus,29SNC23
Cytisus striatus,29SPD91
Convolvulus althaeoides,29SQC26
Coronilla repanda,29SPB16
Geranium molle,29SNC87
Delphinium pentagynum,30STK60
Cotula coronopifolia,29SNB00
Viola palustris,29TPE85
Crocus carpetanus,30TTK66
Cynara algarbiensis,29SPB38
Gladiolus communis,29SPD66
Lavandula pedunculata,29TQE48
Diplotaxis virgata,30STH54
Mercurialis annua,29SQC39
Papaver setigerum,29SPC94
Papaver setigerum,31TDG91
Dactylis glomerata,29SQC44
Glebionis segetum,29TPE94
Senecio vulgaris,29SQD44
Corrigiola litoralis,29SPC93
Leopoldia comosa,29SPC29
Sisymbrium irio,30STJ50
Scorpiurus muricatus,29SQC06
Astragalus epiglottis,29SQC35
Poa bulbosa,29SQC63
Leopoldia comosa,29SQC63
Verbascum schachdagense,30STJ93
Montia fontana,29TQE04
Tuberaria guttata,30STH73
Galium verrucosum,29SPB06
Centaurea alba,29SPD36
Parentucellia latifolia,30TTK74
Thapsia foetida,29SPC67
Plantago afra,30STH62
Cistus salviifolius,29SQD20
Pedicularis sylvatica,30TTN76
Brachypodium distachyon,29SNC63
Erica arborea,29SPD36
Orchis mascula,30STJ98
Serapias strictiflora,29SPD70
Rumex angiocarpus,29SPD36
Trifolium stellatum,29SQC44
Teucrium haenseleri,29SPB99
Lotus creticus,29SNC11
Fumana thymifolia,29SQC26
Leucanthemopsis pallida,30TTK74
Rumex acetosa,30STK70
Trifolium glomeratum,29SQE11
Helianthemum salicifolium,29SPC39
Trifolium glomeratum,29SQC39
Anacamptis morio,29SNB21
Orobanche crenata,29SPD80
Iris xiphium,29SNB81
Bromus hordeaceus,29SPC93
Fumaria bastardii,29SQD44
Hordeum marinum,30STJ51
Narcissus papyraceus,29TPE85
Poterium sanguisorba,29SQC35
Ruta montana,30STH52
Valerianella carinata,29SQD34
Glandora prostrata,29SPD36
Linum bienne,30STJ81
Leontodon hispidus,29TPE75
Centranthus calcitrapae,30STJ50
Gagea pratensis,30TTK66
Briza maxima,29SQD00
Sinapis alba,29SPD70
Torminalis glaberrima,30STJ98
Ranunculus pseudomillefoliatus,29TQE47
Juncus capitatus,29SQD11
Ranunculus pseudomillefoliatus,29SPD96
Anthericum baeticum,30STJ81
Reichardia intermedia,28RFS29
Stipa tenacissima,30SVG83
Vicia benghalensis,29SPD61
Lathyrus angulatus,29SQD00
Taraxacum subhamatum,30TTK66
Hypochaeris glabra,29TPE84
Bellardia viscosa,29SQD11
Ophrys scolopax,29SND48
Dryopteris filix-mas,29TQE27
Sonchus oleraceus,29TQE46
Avena barbata,30STJ60
Conopodium majus,30STJ98
Serapias parviflora,29SQC40
Serapias lingua,29SPD80
Ballota hirsuta,29TQE17
Cruciata glabra,30TTK64
Viola langeana,29TPE75
Misopates orontium,30STH66
Cistus monspeliensis,29SPD96
Asphodelus ramosus,30STH42
Stipellula capensis,30STJ60
Stachys arvensis,30STH41
Callitriche stagnalis,30STJ70
Mercurialis tomentosa,29SQC19
Vulpia myuros,29TPE85
Campanula lusitanica,29SQC40
Callitriche stagnalis,30STH99
Medicago minima,30STK70
Platycapnos spicata,30STH42
Bromus madritensis,29SQD21
Coincya transtagana,29SQC41
Saxifraga granulata,30TTK74
Sinapis incana,30STH52
Linum bienne,29TQE14
Anacamptis morio,29SQC26
Vicia lutea,29SQC43
Vicia benghalensis,30STJ40
Anthyllis lotoides,30STH42
Scandix australis,29SNB82
Briza minor,29SQD42
Gagea soleirolii,29TPE75
Leontodon longirostris,29SQC26
Lonicera periclymenum,30STK60
Arabis stenocarpa,30TTK74
Phlomis lychnitis,30STJ40
Tamarix gallica,29SQD51
Doronicum plantagineum,29TPE85
Viola kitaibeliana,30TTK66
Oeosporangium hispanicum,30STH88
Cytisus multiflorus,29SQD44
Salvia verbenaca,29SQC45
Asplenium trichomanes,29SPC79
Hyacinthoides hispanica,29SQC21
Hippocrepis rupestris,29SQC45
Tuberaria guttata,30STH88
Callitriche brutia,29SQD15
Serapias strictiflora,29SQD41
Galium aparine,30TTK74
Ornithogalum broteroi,29SPD36
Cistus crispus,29SQD34
Avena sativa,29SQC36
Glandora prostrata,29TQE46
Trifolium michelianum,29SPC93
Arrhenatherum elatius,29SPB37
Trifolium scabrum,29SQC15
Phlomis lychnitis,30SUH19
Briza maxima,30STH73
Bellardia trixago,29SPC59
Veronica arvensis,30STH73
Lavandula stoechas,30STH66
Pistacia lentiscus,29SPD61
Avena barbata,29SQC41
Leontodon longirostris,29TPE85
Plantago lanceolata,29SPD36
Asplenium obovatum,29TQE38
Dipsacus comosus,30STH52
Myosotis ramosissima,29SQD41
Leontodon tuberosus,29SPC94
Taraxacum braun-blanquetii,30TTK66
Ballota hirsuta,29SQC39
Coronilla scorpioides,29SQC06
Lavandula stoechas,30STH67
Adonis microcarpa,29SQC35
Orchis italica,29SQC21
Thelypteris palustris,30TTK74
Cynara humilis,30STH40
Serapias parviflora,29SQC15
Verbascum virgatum,29SPC94
Erica arborea,29TPE85
Plantago afra,29SQD20
Moricandia arvensis,30SWG31
Iberodes linifolia,29SQD10
Leontodon longirostris,29SNB10
Ranunculus muricatus,30STJ97
Trifolium hirtum,29SQD09
Stipellula capensis,30STH75
Hordeum marinum,30STH68
Ophrys tenthredinifera,30STK70
Trifolium cherleri,29SPC48
Damasonium polyspermum,29TPE85
Ranunculus peltatus,29SPD89
Ornithopus perpusillus,29SPC93
Senecio vulgaris,30TTK54
Ornithogalum concinnum,29TQE27
Stipellula parviflora,30SVG82
Hypochaeris glabra,29SPD66
Anthyllis lotoides,29TQE35
Adiantum capillus-veneris,29SNB82
Centranthus calcitrapae,29TPE75
Athyrium felix-femina,30TTK74
Juncus effusus,29TQE46
Narcissus bulbocodium,30TTK54
Brachypodium distachyon,29SQC40
Lupinus angustifolius,29SPC67
Anacamptis morio,29SQD00
Iberodes linifolia,29SQC43
Narcissus assoanus,29SQD11
Cerastium arvense,29TPE27
Lavandula stoechas,29SPD70
Lamium maculatum,30TTK74
Bromus diandrus,29SPC39
Bromus madritensis,29SQC26
Adonis microcarpa,29SQC45
Moraea sisyrinchium,29SQD11
Pinus pinaster,29TQE37
Saxifraga granulata,29TPE85
Bromus lanceolatus,29SPC97
Ophrys lutea,29SQC26
Oeosporangium hispanicum,30SUJ22
Spergularia purpurea,29SNC23
Bellardia trixago,29SQC19
Serapias lingua,30TTK74
Poterium sanguisorba,29SQC26
Anacamptis morio,29SPD80
Crepis foetida,29SQD00
Halimium umbellatum,29SNC25
Glandora prostrata,29SNC31
Herniaria lusitanica,30STH42
Veronica acinifolia,30STH42
Luzula campestris,30TTK94
Papaver hybridum,30STJ51
Orchis italica,30STK60
Scorpiurus vermiculatus,29SPD70
Serapias strictiflora,29SNB00
Ballota hirsuta,29SQC39
