Taxon,UTM10x10,References
Galium pierredmondii,30SUF03,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF04,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF14,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF15,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF24,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF25,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF28,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF35,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF36,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF37,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF47,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF48,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUG25,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SVF08,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SVF77,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SVF86,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SVF96,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SVF97,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Cathissa villasina,30SWH01,"Tercero-Araque, A., Martínez-Azorín, M., & Salazar-Mendías, C. (2023). Cathissa villasina (Hyacinthaceae), a new endemic species from the southeastern Iberian Peninsula. Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology, 157(3), 516-529. https://doi.org/10.1080/11263504.2023.2165568"
